Table 1
Project,Status,CSM,Support Engineer,Equipment,Warranty Start Date,Staff Dashboard,Live Locations,Total Loactions,Support Coverage,SLA,,,,,,,,,,,,,,,,,,
Lowes Foods,Deployed,"Jensen Packianathan, Aaron Anthone",Keith Yoder,,,SK Crew Messages,75,75,,,,,,,,,,,,,,,,,,,,
Lowes Home Improvement,Pre - Pilot,"Lily Larsen, Mo Powell",???,,,???,,,,,,,,,,,,,,,,,,,,,,
Lucille's BBQ,Deployed,Jensen Packianathan,Keith Yoder,,,Web Browser,18,25,,,,,,,,,,,,,,,,,,,,
Lunds & Byerlys,Deployed,Jensen Packianathan,Al Hewitt,,,,27,27,,,,,,,,,,,,,,,,,,,,
Martin's Super Markets,Pre - Sales,???,Al Hewitt,,,,,22,,,,,,,,,,,,,,,,,,,,
Meijer,Pre - Pilot,Aaron Anthone,Keith Yoder,,,,,254,,,,,,,,,,,,,,,,,,,,
Mendocino Farms,Deployed,Richard Holley,Francis Nguyen,,,Web Browser,29,29,,,,,,,,,,,,,,,,,,,,
Modern Market / Lemonade,Pre - Pilot,Mo Powell,Al Hewitt,,,Staff App,,30,,,,,,,,,,,,,,,,,,,,
Nandos LM,Deployed,Jensen Packianathan,Keith Yoder,,,Web Browser,7,1000,,,,,,,,,,,,,,,,,,,,
Newk's,Deployed,Jensen Packianathan,"Al Hewitt, Keith Yoder",,,Web Browser,58,120,,,,,,,,,,,,,,,,,,,,
Pandora Jewelry,Pre - Pilot,Aaron Anthone,Al Hewitt,,,???,,7000,,,,,,,,,,,,,,,,,,,,
Peapod,Deployed,Lily Larsen,Francis Nguyen,,,"Staff App, Web Browser",160,6000,,,,,,,,,,,,,,,,,,,,
Pizza Patrón,Pilot,"Jensen Packianathan, Mo Powell",Anh Truong,,,Web Browser,11,85,,,,,,,,,,,,,,,,,,,,
Primanti Bros,Deployed,Jensen Packianathan,Anh Truong,,,,32,36,,,,,,,,,,,,,,,,,,,,
Qdoba,Pre - Pilot,Mo Powell,Al Hewitt,,,Staff App,,678,,,,,,,,,,,,,,,,,,,,
Sainsbury's,Pre - Pilot,Mo Powell,Al Hewitt,,,,,1400,,,,,,,,,,,,,,,,,,,,
Seven Stars Bakery,Deployed,"Jensen Packianathan, Mo Powell",Keith Yoder,,,,4,4,,,,,,,,,,,,,,,,,,,,
Shake Shack,Pre - Sales,???,Francis Nguyen,,,,,2000,,,,,,,,,,,,,,,,,,,,
SpartanNash,Deployed,Jensen Packianathan,Keith Yoder,,,SK Crew Messages,25,70,,,,,,,,,,,,,,,,,,,,
Sweetgreen,Deployed,Mo Powell,Anh Truong,,,"Web Browser, Staff App",6,109,,,,,,,,,,,,,,,,,,,,
Taco John's,Pilot,Aaron Anthone,Al Hewitt,,,,5,386,,,,,,,,,,,,,,,,,,,,
Tarka Indian Restaurant,Deployed,Richard Holley,Keith Yoder,,,Web Browser,8,8,,,,,,,,,,,,,,,,,,,,
