Table 1
Project,Status,Radius POC,Support Engineer,Equipment,Warranty Start Date,Number of Locations,Support Coverage,SLA,Tent Set Type,,,,,,,,,,,,,,,,
McD,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,13690,Normal Business 8am - 5pm Mon through Fri,,Info located in Planner,,,,,,,,,,,,,,,,
Tommy Bahama,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,7,Normal Business 8am - 5pm Mon through Fri,,TB Custom Mini 5yr,,,,,,,,,,,,,,,,
Chicken and Pickle,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,6,Normal Business 8am - 5pm Mon through Fri,,CNP Custom Mini 5yr,,,,,,,,,,,,,,,,
White Castle,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,3,Normal Business 8am - 5pm Mon through Fri,,WC Custom Tall Design 5yr,,,,,,,,,,,,,,,,
Panera,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,42,Normal Business 8am - 5pm Mon through Fri,,Panera Custom Mini 5yr,,,,,,,,,,,,,,,,
Sam & Greg's,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,1,Normal Business 8am - 5pm Mon through Fri,,5yr - Generic,,,,,,,,,,,,,,,,
Tony C's,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,2,Normal Business 8am - 5pm Mon through Fri,,5yr - Custom ,,,,,,,,,,,,,,,,
SuperMacs,Live,Operations,,Info located in Planner,Install Completion Date for each store located in planner,3,Normal Business 8am - 5pm Mon through Fri,,5yr - Generic,,,,,,,,,,,,,,,,
